id,case_number,document_type,file_path,content_length,content_preview,processed,created_at,updated_at,case_name,meta_absolute_url,meta_api_version,meta_appeal_from,meta_appeal_from_str,meta_appellate_case_type_information,meta_appellate_fee_status,meta_assigned_to,meta_assigned_to_id,meta_assigned_to_str,meta_attorney,meta_audio_files,meta_author,meta_author_id,meta_author_str,meta_blocked,meta_case_name,meta_case_name_full,meta_case_name_short,meta_case_number,meta_case_type,meta_cause,meta_citation_count,meta_citations,meta_citations_extracted,meta_citations_found,meta_cl_id,meta_cluster_data,meta_cluster_id,meta_clusters,meta_comprehensive_fetch,meta_content_length,meta_content_words,meta_court,meta_court_full,meta_court_id,meta_court_info,meta_court_name,meta_court_standardized,meta_courtlistener_id,meta_date_argued,meta_date_blocked,meta_date_cert_denied,meta_date_cert_granted,meta_date_created,meta_date_filed,meta_date_last_filing,meta_date_last_index,meta_date_modified,meta_date_reargued,meta_date_reargument_denied,meta_date_terminated,meta_docket_absolute_url,meta_docket_id,meta_docket_number,meta_docket_number_core,meta_docket_url,meta_doctor_extraction,meta_download_url,meta_extracted_by_ocr,meta_extraction_method,meta_federal_defendant_number,meta_federal_dn_case_type,meta_federal_dn_judge_initials_assigned,meta_federal_dn_judge_initials_referred,meta_federal_dn_office_code,meta_fetch_date,meta_fetch_timestamp,meta_fetched_at,meta_fetched_date,meta_filepath_ia,meta_filepath_ia_json,meta_firm,meta_flp_components,meta_flp_processed,meta_flp_processing,meta_flp_version,meta_has_content,meta_ia_date_first_change,meta_ia_needs_upload,meta_ia_upload_failure_count,meta_id,meta_idb_data,meta_is_gilstrap_case,meta_is_patent_case,meta_joined_by,meta_judge_enhanced,meta_judge_extraction_method,meta_judge_name,meta_judge_source,meta_jurisdiction_type,meta_jury_demand,meta_legal_issues,meta_local_path,meta_mdl_status,meta_nature_of_suit,meta_opinion_id,meta_opinion_type,meta_original_court_info,meta_pacer_case_id,meta_page_count,meta_panel,meta_panel_str,meta_parent_docket,meta_party,meta_pdf_processed,meta_per_curiam,meta_precedential_status,meta_processed_at,meta_processing_timestamp,meta_recap_document_count,meta_recap_documents,meta_referred_to,meta_referred_to_str,meta_resource_uri,meta_sha1,meta_slug,meta_snippet,meta_source,meta_status,meta_tags,meta_text_length,meta_total_citations,meta_type
1,2:25-cv-00716,civil_case,,269,"Case: CommWorks Solutions, LLC v. EarthLink, LLC Docket Number: 2:25-cv-00716 Court: TXED Filed: 2025-07-15 Judge:  Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ",False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70806753/commworks-solutions-llc-v-earthlink-llc/,,,,,,,,,,,,,,False,"CommWorks Solutions, LLC v. EarthLink, LLC",,,,,,,,,,1,,,,,,,txed,,txed,,,,,,,,,,2025-07-15,2025-07-15,,,,,,,70806753,2:25-cv-00716,2500716,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,2025-07-16T19:53:10.101982,,1.0,,,,,,,,,,True,metadata,,metadata.assigned_to,,,,,,,,,,239172,,,,,,,,,,,,,,,,,,,courtlistener_api,,,,,
2,6:25-cv-00259,civil_case,,267,Case: Corominas v. Hillhouse Docket Number: 6:25-cv-00259 Court: TXED Filed: 2025-07-15 Judge: K. Nicole Mitchell Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ,False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70806463/corominas-v-hillhouse/,,,,,,K. Nicole Mitchell,https://www.courtlistener.com/api/rest/v3/people/9562/,,,,,,,False,Corominas v. Hillhouse,,Corominas,,,,,,[],,2,,,,,,,txed,,txed,,,,,,,,,,2025-07-15,2025-07-15,,,,,,,70806463,6:25-cv-00259,2500259,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,"{""xray"": true, ""doctor"": false, ""eyecite"": true, ""courts_db"": true, ""judge_pics"": true, ""reporters_db"": true}",2025-07-16T20:41:06.153233,,,,,,,,,,,,True,metadata,K. Nicole Mitchell,metadata.assigned_to,,,,,,,,,,239171,,,,,,,,,,,,,,,,,,,courtlistener_api,,,,0,
3,2:25-cv-00715,civil_case,,301,"Case: BOE Technology Group Co., Ltd. v. Samsung Display Co., Ltd. Docket Number: 2:25-cv-00715 Court: TXED Filed: 2025-07-15 Judge: Rodney Gilstrap Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ",False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70804838/boe-technology-group-co-ltd-v-samsung-display-co-ltd/,,,,,,Rodney Gilstrap,https://www.courtlistener.com/api/rest/v3/people/1211/,,,,,,,False,"BOE Technology Group Co., Ltd. v. Samsung Display Co., Ltd.",,,,,,0,[],,,3,,,,,,,txed,,txed,"{""id"": ""txed"", ""name"": ""District Court, E.D. Texas"", ""full_name"": """", ""jurisdiction"": """", ""citation_string"": ""E.D. Tex.""}",,,,,,,,,2025-07-15,2025-07-15,,,,,,,70804838,2:25-cv-00715,2500715,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,"{""version"": ""2.0"", ""timestamp"": ""2025-07-16T20:43:26.383885"", ""enhancements"": [""court_standardization""], ""components_used"": {""eyecite"": false, ""courts_db"": true, ""reporters_db"": false}}",,,,,,,,,,,True,metadata,Rodney Gilstrap,metadata.assigned_to,,,,,,,,,,239170,,,,,,,,,,,,,,,,,,,courtlistener_api,,,,,
4,6:25-cv-00256,civil_case,,272,"Case: Bowen v. Director, TDCJ-CID Docket Number: 6:25-cv-00256 Court: TXED Filed: 2025-07-14 Judge: Jeremy D. Kernodle Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ",False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70804005/bowen-v-director-tdcj-cid/,,,,,,Jeremy D. Kernodle,https://www.courtlistener.com/api/rest/v3/people/8591/,,,,,,,False,"Bowen v. Director, TDCJ-CID",,Bowen,,,,,,,,4,,,,,,,txed,,txed,,,,,,,,,,2025-07-14,2025-07-15,,,,,,,70804005,6:25-cv-00256,2500256,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Jeremy D. Kernodle,metadata.assigned_to,,,,,,,,,,239168,,,,,,,,,,,,,K. Nicole Mitchell,,,,,,courtlistener_api,,,,,
5,9:25-cv-00201,civil_case,,257,Case: Reed v. Manning Docket Number: 9:25-cv-00201 Court: TXED Filed: 2025-07-14 Judge: Marcia A. Crone Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-14 ,False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70804004/reed-v-manning/,,,,,,Marcia A. Crone,https://www.courtlistener.com/api/rest/v3/people/764/,,,,,,,False,Reed v. Manning,,Reed,,,,,,,,5,,,,,,,txed,,txed,,,,,,,,,,2025-07-14,2025-07-14,,,,,,,70804004,9:25-cv-00201,2500201,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Marcia A. Crone,metadata.assigned_to,,,,,,,,,,239169,,,,,,,,,,,,,Christine L. Stetson,,,,,,courtlistener_api,,,,,
6,2:25-cv-00714,civil_case,,276,Case: Helical LLC v. TPV Technology Ltd. Docket Number: 2:25-cv-00714 Court: TXED Filed: 2025-07-15 Judge: Rodney Gilstrap Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ,False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70803424/helical-llc-v-tpv-technology-ltd/,,,,,,Rodney Gilstrap,https://www.courtlistener.com/api/rest/v3/people/1211/,,,,,,,False,Helical LLC v. TPV Technology Ltd.,,,,,,,,,,6,,,,,,,txed,,txed,,,,,,,,,,2025-07-15,2025-07-15,,,,,,,70803424,2:25-cv-00714,2500714,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Rodney Gilstrap,metadata.assigned_to,,,,,,,,,,239167,,,,,,,,,,,,,Roy S. Payne,,,,,,courtlistener_api,,,,,
7,4:25-cv-00756,civil_case,,272,Case: Bello v. Fannin County Jail Docket Number: 4:25-cv-00756 Court: TXED Filed: 2025-07-11 Judge: J. Campbell Barker Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-11 ,False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70803423/bello-v-fannin-county-jail/,,,,,,J. Campbell Barker,https://www.courtlistener.com/api/rest/v3/people/8541/,,,,,,,False,Bello v. Fannin County Jail,,Bello,,,,,,,,7,,,,,,,txed,,txed,,,,,,,,,,2025-07-11,2025-07-11,,,,,,,70803423,4:25-cv-00756,2500756,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,J. Campbell Barker,metadata.assigned_to,,,,,,,,,,239164,,,,,,,,,,,,,K. Nicole Mitchell,,,,,,courtlistener_api,,,,,
8,2:25-cv-00713,civil_case,,283,Case: Helical LLC v. Beyerdynamic GmbH & Co. KG Docket Number: 2:25-cv-00713 Court: TXED Filed: 2025-07-15 Judge: Rodney Gilstrap Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ,False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70803422/helical-llc-v-beyerdynamic-gmbh-co-kg/,,,,,,Rodney Gilstrap,https://www.courtlistener.com/api/rest/v3/people/1211/,,,,,,,False,Helical LLC v. Beyerdynamic GmbH & Co. KG,,,,,,,,,,8,,,,,,,txed,,txed,,,,,,,,,,2025-07-15,2025-07-15,,,,,,,70803422,2:25-cv-00713,2500713,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Rodney Gilstrap,metadata.assigned_to,,,,,,,,,,239166,,,,,,,,,,,,,Roy S. Payne,,,,,,courtlistener_api,,,,,
9,2:25-cv-00712,civil_case,,267,Case: Helical LLC v. 1MORE Inc. Docket Number: 2:25-cv-00712 Court: TXED Filed: 2025-07-15 Judge: Rodney Gilstrap Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ,False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70802555/helical-llc-v-1more-inc/,,,,,,Rodney Gilstrap,https://www.courtlistener.com/api/rest/v3/people/1211/,,,,,,,False,Helical LLC v. 1MORE Inc.,,,,,,,,,,9,,,,,,,txed,,txed,,,,,,,,,,2025-07-15,2025-07-15,,,,,,,70802555,2:25-cv-00712,2500712,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Rodney Gilstrap,metadata.assigned_to,,,,,,,,,,239165,,,,,,,,,,,,,Roy S. Payne,,,,,,courtlistener_api,,,,,
10,6:25-cv-00255,civil_case,,277,"Case: McKinley v. Director, TDCJ - CID Docket Number: 6:25-cv-00255 Court: TXED Filed: 2025-07-14 Judge: Jeremy D. Kernodle Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ",False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70802266/mckinley-v-director-tdcj-cid/,,,,,,Jeremy D. Kernodle,https://www.courtlistener.com/api/rest/v3/people/8591/,,,,,,,False,"McKinley v. Director, TDCJ - CID",,McKinley,,,,,,,,10,,,,,,,txed,,txed,,,,,,,,,,2025-07-14,2025-07-15,,,,,,,70802266,6:25-cv-00255,2500255,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Jeremy D. Kernodle,metadata.assigned_to,,,,,,,,,,239163,,,,,,,,,,,,,K. Nicole Mitchell,,,,,,courtlistener_api,,,,,
